uri,title,text,type,authors,tags,organisation,date
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/016_Facon.pdf,Abstract 16,Optimal treatment in de novo and first relapse myeloma,Plenary 3,Thierry Facon,HSANZ Symposium: Myeloma - the science and therapeutic update,CHRU de Lille - Hôpital Claude Huriez,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/017_Kurtin.pdf,Abstract 17,LIVING with Cancer:  From the lens of a caregiver,Plenary 3,Sandra Kurtin,HSANZ & Nurses Symposium Survivorship,The University of Arizona Cancer Center,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/018_Avery.pdf,Abstract 18,Optimising survivorship - The physicians perspective,Plenary 3,Sharon Avery,HSANZ & Nurses Symposium Survivorship,The Alfred,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/019_Green.pdf,Abstract 19,The myeloproliferative neoplasms - JAK/STAT signalling and stem cell subversion||,Plenary 3,Tony Green,HSANZ/EHA Symposium: Myeloid disorders,University of Cambridge,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/020_Dick.pdf,Abstract 20,Clinical relevance of leukemia stem cells in AML||,Plenary 3,John Dick,HSANZ/EHA Symposium: Myeloid disorders,University of Toronto,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/021_McLintock.pdf,Abstract 21,Thrombocytopenia in pregnancy,Plenary 3,Claire McLintock,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy",National Women's Health,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/022_Hamilton.pdf,Abstract 22,Blood Cancer & Pregnancy - Practical management,Plenary 3,Anne Hamilton,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy",Peter MacCallum Cancer Centre,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/023_Savoia.pdf,Abstract 23,Alloummunisation - what's new?,Plenary 3,Helen Savoia,"COMBINED SYMPOSIUM (HSANZ, ANZSBT, ASTH & Nurses): Haematological diseases in pregnancy",The Royal Children's Hospital,13/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/024_Yeh.pdf,Abstract 24,Circulating tumour DNA reflects overall disease burden and clonal evolution in||chronic lymphocytic leukemia.,Plenary 3,Paul Yeh,HSANZ Early Career Symposium,Peter MacCallum Cancer Centre,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/025_Henden.pdf,Abstract 25,Interferon Lambda  is a Critical Cytoprotectant in Bone Marrow Transplantation||,Plenary 3,Andrea Henden,HSANZ Early Career Symposium,QIMR Berghofer Medical Research Institute,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/026_Anderson.pdf,Abstract 26,BCL2 selective inhibition with venetoclax induces apoptosis in high risk||del(17p) and TP53-defective CLL in vitro and in patients leading to durable||responses,Plenary 3,Mary Ann Anderson,HSANZ Early Career Symposium,"Cancer and Haematology Division, Walter and Eliza Hall Institute",14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/027_Hsu.pdf,Abstract 27,Therapeutic blood dendritic cell vaccination for acute myeloid leukaemia,Plenary 3,Jennifer Hsu,HSANZ Early Career Symposium,ANZAC Research Institute,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/028_Yannakou.pdf,Abstract 28,Germline variant detection by next generation sequencing in routine tumour||sample analysis - mountain or molehill?,Plenary 3,Costas Yannakou,HSANZ Early Career Symposium,Peter MacCallum Cancer Centre,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/029_Low.pdf,Abstract 29,Identifying downstream targets of IRF4 for therapeutic targeting in myeloma.,Plenary 3,Michael Low,HSANZ Early Career Symposium,Walter and Eliza Hall Institute of Medical Research,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/030_Friedberg.pdf,Abstract 30,Novel agents - who needs them?,Plenary 3,Jonathan W. Friedberg,HSANZ Symposium: Indolent lymphoma,James P. Wilmot Cancer Institute,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/031_Treon.pdf,Abstract 31,Genomic based treatment advances in Waldenstrom's Macroglobulinemia,Plenary 3,Steven Treon,HSANZ Symposium: Indolent lymphoma,Harvard Medical School,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/032_Renwick.pdf,Abstract 32,A Frailty Scale Predicts Outcomes in Transplant-Ineligible Patients With||Newly-Diagnosed Multiple Myeloma (NDMM) Treated in the FIRST Trial With||Continuous Lenalidomide Plus Low-Dose Dexamethasone (Rd),Plenary 3,William Renwick,HSANZ Free Communications 1: Myeloma Clinical I,Western Health,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/033_Scott.pdf,Abstract 33,Real-world’ Australian experience of pomalidomide for relapsed/refractory||myeloma,Plenary 3,Ashleigh Scott,HSANZ Free Communications 1: Myeloma Clinical I,Princess Alexandra Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/034_Simpson.pdf,Abstract 34,Myeloma outcomes in New Zealand: Increasing regional variation,Plenary 3,David Simpson,HSANZ Free Communications 1: Myeloma Clinical I,North Shore Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/035_Wong Doo.pdf,Abstract 35,Early autologous stem cell transplant associated with improved overall survival||in multiple myeloma: findings from a population based study,Plenary 3,Nicole Wong Doo,HSANZ Free Communications 1: Myeloma Clinical I,Concord Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/036_Taylor.pdf,Abstract 36,Transplantation in FLT-3-ITD+ AML with normal karyotype is associated with||improved overall survival,Meeting Room 217,Emma Taylor,HSANZ Free Communications 2: Bone Marrow Transplantation,Royal Brisbane & Women's Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/037_Wong.pdf,Abstract 37,The Prognostic Impact Of Early Donor Chimerism After Allogeneic Stem Cell||Transplantation Is Dependent On Disease Risk Index.,Meeting Room 217,Eric Wong,HSANZ Free Communications 2: Bone Marrow Transplantation,Royal Melbourne Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/038_Wright.pdf,Abstract 38,"Biopsychosocial Outcomes of Victorian Allogeneic Stem Cell Transplant (alloSCT)||Late Effects (LE) Program: Metabolic Syndrome (MetS), Quality of Life  (QOL) &||Returning to Work",Meeting Room 217,Tricia Wright,HSANZ Free Communications 2: Bone Marrow Transplantation,Alfred Health,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/039_Birchley.pdf,Abstract 39,"Early acute kidney injury post allogeneic stem cell transplant is associated||with increased risk of GVHD, higher mortality and reduced survival",Meeting Room 217,Andrew Birchley,HSANZ Free Communications 2: Bone Marrow Transplantation,Royal Brisbane & Women's Hospital,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/040_Bennett.pdf,Abstract 40,Inhibition of glucosylceramide synthase induces apoptotic cell death in multiple||myeloma cells,Meeting Room 218,Melissa Bennett,HSANZ Free Communications 3: Myeloma Biology,Centre for Cancer Biology,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/041_Nair.pdf,Abstract 41,Application of EuroFlow for minimal residual disease detection of multiple||myeloma following tandem autologous-NMA allogeneic stem cell transplantation,Meeting Room 218,Anish Nair,HSANZ Free Communications 3: Myeloma Biology,"Alfred Hospital, Melbourne",14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/042_Reale.pdf,Abstract 42,TOP2A a New Predictive Marker of Response to Carfilzomib in Multiple Myeloma,Meeting Room 218,Antonia Reale,HSANZ Free Communications 3: Myeloma Biology,ACBD Monash University - The Alfred,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/043_Savvidou.pdf,Abstract 43,Overcoming innate resistance to a new beta-catenin inhibitor by manipulating the||autophagic pathway in Multiple Myeloma,Meeting Room 218,Ioanna Savvidou,HSANZ Free Communications 3: Myeloma Biology,"Monash University, Alfred Hospital, Myeloma Research Group",14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/044_Forsyth.pdf,Abstract 44,The Delayed Diagnosis of Philadelphia Negative Myeloproliferative Neoplasms||(MPN) is Common and Results in a High Incidence of Potentially Preventable||Thrombotic Complications.,Meeting Room 211,Cecily Forsyth,HSANZ Free Communications 4: Myeloproliferative Disorders,Gosford Haematology,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/045_Hughes.pdf,Abstract 45,Immune Responses in Chronic Myeloid Leukaemia Patients Following Cessation of||Tyrosine Kinase Inhibitor||,Meeting Room 211,Amy Hughes,HSANZ Free Communications 4: Myeloproliferative Disorders,South Australia Health and Medical Research Institute,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/046_Pagani.pdf,Abstract 46,Mitochondrial DNA mutations at diagnosis are linked to response in TKI treated||chronic myeloid leukaemia patients,Meeting Room 211,Ilaria Stefania Pagani,HSANZ Free Communications 4: Myeloproliferative Disorders,South Australian Health and Medical Research Institute (SAHMRI),14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/047_Ryland.pdf,Abstract 47,Targeted amplicon sequencing combined with selected extended sequencing||efficiently establishes diagnoses in conventional and triple-negative BCR-ABL||negative myeloproliferative neoplasms in the molecular diagnostic laboratory,Meeting Room 211,Georgie Ryland,HSANZ Free Communications 4: Myeloproliferative Disorders,Peter MacCallum Cancer Centre,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/048_Treon.pdf,Abstract 48,Biology and Therapy of Waldenstrom’s Macroglobulinemia,Meeting Room 217,Steven Treon,HSANZ Masterclass: Waldenstroms (Steven Treon),Harvard Medical School,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/049_Green.pdf,Abstract 49,Clinician scientists – bridging the MPN divide,Meeting Room 218,Tony Green,HSANZ Masterclass: MPN (Anthony Green),University of Cambridge,14/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/050_Shortt.pdf,Abstract 50,Single hit lymphoma,Plenary 3,Jake Shortt,HSANZ Symposium: Aggressive lymphoma,Monash Health,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/051_Trotman.pdf,Abstract 51,Ann Arbor Staging vs. Total Metabolic Tumour Volume. Time for a change?,Plenary 3,Judith Trotman,HSANZ Symposium: Aggressive lymphoma,Concord Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/052_Hertzberg.pdf,Abstract 52,Hodgkin lymphoma gone bad,Plenary 3,Mark Hertzberg,HSANZ Symposium: Aggressive lymphoma,Prince of Wales Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/053_Juneja.pdf,Abstract 53,The 2016 revision of the WHO classification of myeloid neoplasms & acute||leukaemia,Meeting Room 216,Surender Juneja,Lab Haematology Symposium 1: MDS and AML,Royal Melbourne Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/054_Blombery.pdf,Abstract 54,Update on molecular diagnostics of AML & MDS,Meeting Room 216,Piers Blombery,Lab Haematology Symposium 1: MDS and AML,Peter MacCallum Cancer Centre,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/055_Viprakasit.pdf,Abstract 55,Novel therapies in thalassaemia,Plenary 3,Vip Viprakasit,HSANZ & ANZSBT: Haemoglobinopathies,"Siriraj Hospital, Mahidol University",15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/056_Ware.pdf,Abstract 56,Global strategies for sickle cell disease,Plenary 3,Russell Ware,HSANZ & ANZSBT: Haemoglobinopathies,Cincinnati Children's Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/057_Jane.pdf,Abstract 57,Towards novel therapies for the hemoglobinopathies,Plenary 3,Stephen Jane,HSANZ & ANZSBT: Haemoglobinopathies,Monash University,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/058_Young.pdf,Abstract 58,Aplastic anemia: Treating the hematopoietic stem cell,Plenary 3,Neal Young,HSANZ Symposium: Aplastic Anaemia,"National Heart, Lung & Blood Institute",15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/059_Firkin.pdf,Abstract 59,Objectives and progress of the Australian Aplastic Anaemia Registry,Plenary 3,Frank Firkin,HSANZ Symposium: Aplastic Anaemia,St Vincent's Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/060_Lade.pdf,Abstract 60,Update on 2016 WHO classification of lymphoid neoplasms,Meeting Room 216,Stephen Lade,Lab Haematology Symposium 2,Peter MacCallum Cancer Centre,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/061_Sartor.pdf,Abstract 61,A review of the RCPA EQA program for paroxysmal nocturnal haemoglobinuria,Meeting Room 216,Mary Sartor,Lab Haematology Symposium 2,Westmead Hospital,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/062_Huang.pdf,Abstract 62,The science behind BcL2 inhibition,Plenary 3,David Huang,HSANZ Symposium: Bcl2 inhibition - The science and clinical impact,Walter & Eliza Hall Institute of Medical Research,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/063_Anderson.pdf,Abstract 63,Bcl2 inhibition in lymphoproliferative disease,Plenary 3,Mary Ann Anderson,HSANZ Symposium: Bcl2 inhibition - The science and clinical impact,"Cancer and Haematology Division, Walter and Eliza Hall Institute",15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/064_Wei.pdf,Abstract 64,Therapeutic progress in targeting apoptosis pathways in AML,Plenary 3,Andrew Wei,HSANZ Symposium: Bcl2 inhibition - The science and clinical impact,The Alfred Hospital and Monash University,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/065_Friedberg.pdf,Abstract 65,Precision approach to Follicular Lymphoma,Meeting Room 216,Jonathan W. Friedberg,HSANZ Masterclass: Lymphoma (Jonathan Friedberg),James P. Wilmot Cancer Institute,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/066_Facon.pdf,Abstract 66,Myeloma: Front line therapy in transplant ineligible patients,Meeting Room 217,Thierry Facon,HSANZ Masterclass: Myeloma (Theirry Facon),CHRU de Lille - Hôpital Claude Huriez,15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/067_Young.pdf,Abstract 67,Constitutional bone marrow failure syndromes manifesting in adults,Meeting Room 218,Neal Young,HSANZ Masterclass: Bone marrow failure (Neal Young),"National Heart, Lung & Blood Institute",15/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/068_Wong.pdf,Abstract 68,99m Technetium-hydroxy-diphosphate Tracer (99mTcHDP) Bone Scintigraphy: A||Non-invasive Diagnostic Tool for Cardiac Amyloidosis||,Plenary 3,Caroline Wong,HSANZ Free Communications 5: Myeloma Clinical II,Eastern Health,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/069_Bergin.pdf,Abstract 69,Rates of upfront autologous stem cell transplantation (ASCT) in newly diagnosed||multiple myeloma (NDMM):  a report from the MRDR on behalf of the MRDR steering||committee,Plenary 3,Krystal Bergin,HSANZ Free Communications 5: Myeloma Clinical II,The Alfred,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/070_Gibbs.pdf,Abstract 70,"Monoclonal antibodies in systemic AL amyloidosis - when it rains, in pours",Plenary 3,Simon Gibbs,HSANZ Free Communications 5: Myeloma Clinical II,"The Victorian and Tasmanian Amyloidosis Service, Monash University Eastern Healt",16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/071_Kalff.pdf,Abstract 71,A 2-stage phase II study of panobinostat consolidation in Multiple Myeloma (MM)||patients with < CR Following High-Dose Chemotherapy (HDT) conditioned Autologous||Stem Cell Transplantation (ASCT) as part of first line therapy,Plenary 3,Anna Kalff,HSANZ Free Communications 5: Myeloma Clinical II,"Myeloma Research Group, The Alfred Hospital, Monash University",16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/072_Liedtke.pdf,Abstract 72,NEOD001 demonstrates organ biomarker responses in patients with light chain||amyloidosis and persistent organ dysfunction: results from the expansion phase||of a phase 1/2 study,Plenary 3,Michaela Liedtke,HSANZ Free Communications 5: Myeloma Clinical II,Stanford University Medical School,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/073_Moore.pdf,Abstract 73,Renal impairment in myeloma: a comparison of characteristics and outcomes in||patients with and without renal impairment in the Australia and New Zealand||myeloma and related diseases registry,Plenary 3,Elizabeth Moore,HSANZ Free Communications 5: Myeloma Clinical II,Monash University,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/074_Blombery.pdf,Abstract 74,Genomic characterisation of breast implant-associated anaplastic large cell||lymphoma reveals a high incidence of activating JAK1/STAT3 mutations and||identifies predisposing germline variants,Meeting Room 216,Piers Blombery,HSANZ Free Communications 6: Lymphoma,Peter MacCallum Cancer Centre,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/075_Falconer.pdf,Abstract 75,The frequency of incidental malignancies detected by PET/CT scans in patients||with lymphoma and the associated clinical implications,Meeting Room 216,Janlyn Falconer,HSANZ Free Communications 6: Lymphoma,Westmead Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/076_Ratnasingam.pdf,Abstract 76,Improved survival of older patients with Mantle Cell Lymphoma (MCL) with||cytarabine-based immunochemotherapy.,Meeting Room 216,Sumita Ratnasingam,HSANZ Free Communications 6: Lymphoma,Monash Health,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/077_Roberts.pdf,Abstract 77,Frequent achievement of complete remissions in patients with relapsed /||refractory mantle cell lymphoma treated with the combination of Ibrutinib and||Venetoclax (ABT-199): results from the ongoing Australian Phase 2 AIM study,Meeting Room 216,Constantine Tam,HSANZ Free Communications 6: Lymphoma,Peter MacCallum Cancer Centre,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/078_Tang.pdf,Abstract 78,Primary central nervous system lymphoma: a tertiary institution experience over||the last decade,Meeting Room 216,Catherine Tang,HSANZ Free Communications 6: Lymphoma,Royal North Shore Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/079_van der Weyden.pdf,Abstract 79,A Retrospective Review of Treatment Outcomes in Patients Treated for Peripheral||T Cell Lymphoma (PTCL) at the Peter MacCallum Cancer Centre (PMCC) between 1999||and 2015,Meeting Room 216,Carrie van der Weyden,HSANZ Free Communications 6: Lymphoma,Peter MacCallum Cancer Centre,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/080_Chunilal.pdf,Abstract 80,Safety of RAPid INJECTion of Undiluted Ferric Carboxymaltose to Patients with||Iron Deficiency Anaemia (RAPINJECT).,Meeting Room 217,Sanjeev Chunilal,HSANZ Free Communications 7: Non-Malignant,Monash Medical Centre,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/081_Ho.pdf,Abstract 81,"Prevalence of cardiac and hepatic siderosis in Australian patients with||transfusion-dependent anaemias or non-transfusion-dependent thalassaemia, as||assessed by MRI (the TIMES Study)",Meeting Room 217,P. Joy Ho,HSANZ Free Communications 7: Non-Malignant,Royal Prince Alfred Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/082_Hsu.pdf,Abstract 82,"An Observational, Non-Interventional, Multicentre,  Registry Of Patients With||Atypical Haemolytic Uraemic Syndrome (aHUS): A Review Of The Baseline||Characteristics Of Patients Treated With Eculizumab In The  Australian Cohort",Meeting Room 217,Danny Hsu,HSANZ Free Communications 7: Non-Malignant,Liverpool Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/083_Khalafallah.pdf,Abstract 83,Treatment of iron deficiency anaemia of late pregnancy with a single intravenous||ferric carboxymaltose or iron polymaltose infusion versus daily oral iron||sulphate (TIDAL): a prospective randomised controlled trial||,Meeting Room 217,Alhossain Khalafallah,HSANZ Free Communications 7: Non-Malignant,Launceston General Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/084_Kivivali.pdf,Abstract 84,Emerging Insights into Efficacy of Aplastic Anaemia Management Practices from||the Australian Aplastic Anaemia Registry,Meeting Room 217,Leah Kivivali,HSANZ Free Communications 7: Non-Malignant,Monash University,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/085_Chiu.pdf,Abstract 85,Scl and Lyl1 are critical for proplatelet formation and platelet function,Meeting Room 217,Sung Kai Chiu,HSANZ Free Communications 7: Non-Malignant,Australian Centre for Blood Diseases/The Alfred Hospital,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/086_Jones.pdf,Abstract 86,Novel next generation sequencing based minimal residual disease testing||utilising non-conventional molecular targets in acute myeloid leukaemia,Meeting Room 220,Kate Jones,HSANZ Free Communications 8: Acute Myeloid Leukaemia & Myelodysplasia,Peter MacCallum Cancer Centre,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/087_Sillar.pdf,Abstract 87,Reactive oxygen species promote leukaemogenesis via altered redox signalling||pathways in FLT3-ITD+ acute myeloid leukaemia,Meeting Room 220,Jonathan Sillar,HSANZ Free Communications 8: Acute Myeloid Leukaemia & Myelodysplasia,"University of Newcastle, Calvary Mater Newcastle",16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/088_Vu.pdf,Abstract 88,miR-10a as a Predictive Biomarker in Normal Karyotype (NK) Acute Myeloid||Leukaemia (AML).,Meeting Room 220,Thi Thanh Vu,HSANZ Free Communications 8: Acute Myeloid Leukaemia & Myelodysplasia,St Vincent's Center for Applied Medical Research,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/089_Jeffrey.pdf,Abstract 89,Low-Dose Cytarabine and Thioguanine Based Metronomic Chemotherapy (STIMULus) as||Salvage in Elderly Patients with Relapsed or Refractory Acute Myeloid Leukaemia||(AML),Meeting Room 220,Anthony Jeffrey,HSANZ Free Communications 8: Acute Myeloid Leukaemia & Myelodysplasia,The University of Sydney,16/11/2016
http://dzdecqfjn907w.cloudfront.net/J000523/Abstracts/090_Schwarer.pdf,Abstract 90,A Single High-Dose Cytarabine (HiDAC) During Induction-Consolidation May Not be||Adequate for Patients with a New Diagnosis of Acute Myeloid Leukaemia (AML) not||Planned for Allogeneic Haematopoietic Stem Cell Transplantation (alloHSCT) in||1st Complete Remission (CR1),Meeting Room 220,Anthony Schwarer,HSANZ Free Communications 8: Acute Myeloid Leukaemia & Myelodysplasia,Box Hill Hospital,16/11/2016
